range_ratio,range_pct,rank,threshold,qps,recall,latency_ms,search_ef,dataset,data_size,m,ef_construction,ef_max,alpha,log_path,wins,topk_count,top_k
0.010000,1.0000,1,0.990000,3673.116600,0.990400,0.272200,16,yt8m-video,100000,40,160,600,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k40_efc160_efm600_alpha1.3.log",1,3,3
0.010000,1.0000,2,0.990000,3671.072600,0.990100,0.272400,16,yt8m-video,100000,40,160,600,1.2,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k40_efc160_efm600_alpha1.2.log",0,1,3
0.010000,1.0000,3,0.990000,3607.323300,0.990400,0.277200,16,yt8m-video,100000,36,160,600,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k36_efc160_efm600_alpha1.3.log",1,2,3
0.020000,2.0000,1,0.980000,3559.310000,0.984200,0.281000,16,yt8m-video,100000,36,160,600,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k36_efc160_efm600_alpha1.3.log",1,2,3
0.020000,2.0000,2,0.980000,3533.105500,0.982200,0.283000,16,yt8m-video,100000,32,160,500,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k32_efc160_efm500_alpha1.3.log",3,5,3
0.020000,2.0000,3,0.980000,3522.592400,0.984500,0.283900,16,yt8m-video,100000,40,160,600,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k40_efc160_efm600_alpha1.3.log",1,3,3
0.040000,4.0000,1,0.980000,2340.107800,0.980400,0.427300,20,yt8m-video,100000,28,160,600,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k28_efc160_efm600_alpha1.3.log",1,3,3
0.040000,4.0000,2,0.980000,2320.462300,0.980300,0.430900,20,yt8m-video,100000,32,160,600,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k32_efc160_efm600_alpha1.3.log",0,2,3
0.040000,4.0000,3,0.980000,2305.162000,0.980000,0.433800,24,yt8m-video,100000,36,160,600,1.2,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k36_efc160_efm600_alpha1.2.log",0,1,3
0.080000,8.0000,1,0.980000,1506.076300,0.980300,0.664000,28,yt8m-video,100000,32,160,500,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k32_efc160_efm500_alpha1.3.log",3,5,3
0.080000,8.0000,2,0.980000,1472.567300,0.981900,0.679100,28,yt8m-video,100000,28,160,600,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k28_efc160_efm600_alpha1.3.log",1,3,3
0.080000,8.0000,3,0.980000,1465.360400,0.980900,0.682400,28,yt8m-video,100000,28,160,500,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k28_efc160_efm500_alpha1.3.log",1,3,3
0.160000,16.0000,1,0.980000,1088.492100,0.980800,0.918700,32,yt8m-video,100000,32,160,500,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k32_efc160_efm500_alpha1.3.log",3,5,3
0.160000,16.0000,2,0.980000,1086.771200,0.980100,0.920200,32,yt8m-video,100000,28,160,500,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k28_efc160_efm500_alpha1.3.log",1,3,3
0.160000,16.0000,3,0.980000,1072.029000,0.980900,0.932800,32,yt8m-video,100000,28,160,600,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k28_efc160_efm600_alpha1.3.log",1,3,3
0.320000,32.0000,1,0.980000,670.303400,0.982700,1.491900,48,yt8m-video,100000,28,160,500,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k28_efc160_efm500_alpha1.3.log",1,3,3
0.320000,32.0000,2,0.980000,667.376100,0.984100,1.498400,48,yt8m-video,100000,32,160,500,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k32_efc160_efm500_alpha1.3.log",3,5,3
0.320000,32.0000,3,0.980000,665.290100,0.983000,1.503100,48,yt8m-video,100000,36,160,400,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k36_efc160_efm400_alpha1.3.log",0,1,3
0.640000,64.0000,1,0.980000,559.178900,0.980800,1.788300,48,yt8m-video,100000,32,160,500,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k32_efc160_efm500_alpha1.3.log",3,5,3
0.640000,64.0000,2,0.980000,531.699700,0.982700,1.880800,48,yt8m-video,100000,40,160,600,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k40_efc160_efm600_alpha1.3.log",1,3,3
0.640000,64.0000,3,0.980000,506.016100,0.981100,1.976200,48,yt8m-video,100000,32,160,600,1.3,"../logs/static/yt8m-video/sensitivity/search/yt8m-video_N100000_k32_efc160_efm600_alpha1.3.log",0,2,3
